"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3445","Verify that user cannot sign up using empty password","Surefire suite","Mon Oct 14 07:50:52 EEST 2024","passed","Mon Oct 14 07:50:55 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithEmptyPasswordAndValidData"
"","8916","Verify that user cannot change password using empty confirm password","Surefire suite","Mon Oct 14 07:51:31 EEST 2024","passed","Mon Oct 14 07:51:40 EEST 2024","com.softwaretestingboard.magento.testcases.MyAccountTest","Surefire test","com.softwaretestingboard.magento.testcases.MyAccountTest","verifyUserCantChangePasswordWithEmptyConfirmsPassword"
"","13963","Verify that registered user can add an item to cart with size and color","Surefire suite","Mon Oct 14 07:50:08 EEST 2024","passed","Mon Oct 14 07:50:22 EEST 2024","com.softwaretestingboard.magento.testcases.AddToCartTest","Surefire test","com.softwaretestingboard.magento.testcases.AddToCartTest","addItemWithSizeAndColorToCartWhileSignedIn"
"","4207","Verify that user cannot sign in using old (changed) Password","Surefire suite","Mon Oct 14 07:51:10 EEST 2024","passed","Mon Oct 14 07:51:15 EEST 2024","com.softwaretestingboard.magento.testcases.LoginTest","Surefire test","com.softwaretestingboard.magento.testcases.LoginTest","loginWithOldPassword"
"","4052","Verify that user cannot sign in using a non-registered Email","Surefire suite","Mon Oct 14 07:50:45 EEST 2024","passed","Mon Oct 14 07:50:49 EEST 2024","com.softwaretestingboard.magento.testcases.LoginTest","Surefire test","com.softwaretestingboard.magento.testcases.LoginTest","loginWithNonRegisteredEmail"
"","7567","Verify that user can navigate through categories","Surefire suite","Mon Oct 14 07:50:08 EEST 2024","passed","Mon Oct 14 07:50:16 EEST 2024","com.softwaretestingboard.magento.testcases.HomePageTest","Surefire test","com.softwaretestingboard.magento.testcases.HomePageTest","verifyThatHoverCategoriesWork"
"","2767","Verify that user cannot sign up using wrong Email format","Surefire suite","Mon Oct 14 07:51:04 EEST 2024","passed","Mon Oct 14 07:51:07 EEST 2024","com.softwaretestingboard.magento.testcases.SignUpTest","Surefire test","com.softwaretestingboard.magento.testcases.SignUpTest","signUpWithInvalidEmailFormatAndValidData"
"","2804","Verify that guest user cart is empty by default","Surefire suite","Mon Oct 14 07:50:29 EEST 2024","passed","Mon Oct 14 07:50:32 EEST 2024","com.softwaretestingboard.magento.testcases.AddToCartTest","Surefire test","com.softwaretestingboard.magento.testcases.AddToCartTest","verifyThatEmptyMsgAppearsWhenMiniCartIsEmpty"
"","9314","Verify that user cannot change email using empty email","Surefire suite","Mon Oct 14 07:50:53 EEST 2024","passed","Mon Oct 14 07:51:03 EEST 2024","com.softwaretestingboard.magento.testcases.MyAccountTest","Surefire test","com.softwaretestingboard.magento.testcases.MyAccountTest","verifyUserCantChangeEmailWithEmptyEmail"
"","3934","Verify that user cannot sign in using old (changed) Email","Surefire suite","Mon Oct 14 07:50:58 EEST 2024","passed","Mon Oct 14 07:51:02 EEST 2024","com.softwaretestingboard.magento.testcases.LoginTest","Surefire test","com.softwaretestingboard.magento.testcases.LoginTest","loginWithOldEmail"
"","29770","Verify that user can make an order as registered user using valid shipping data or already registered shipping data","Surefire suite","Mon Oct 14 07:50:19 EEST 2024","passed","Mon Oct 14 07:50:48 EEST 2024","com.softwaretestingboard.magento.testcases.CheckOutTest","Surefire test","com.softwaretestingboard.magento.testcases.CheckOutTest","checkOutItemAsUser"
